instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cluster
1,734138,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,low
2,734139,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,low
3,734140,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,low
4,734141,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,low
5,734142,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,low
6,734143,1,0,1,0,4,1,1,0.204348,0.23320900000000006,0.518261,0.0895652,1606,low
7,734144,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,low
8,734145,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,low
9,734146,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,822,low
10,734147,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.223267,1321,low
11,734148,1,0,1,0,2,1,2,0.16909100000000002,0.191464,0.6863640000000001,0.122132,1263,low
12,734149,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,low
13,734150,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,low
14,734151,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,low
15,734152,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.15796300000000002,1248,low
16,734153,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,low
17,734154,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,low
18,734155,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,low
19,734156,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,low
20,734157,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,low
21,734158,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,low
22,734159,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,low
23,734160,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,low
24,734161,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,low
25,734162,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,low
26,734163,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,low
27,734164,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,low
28,734165,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,low
29,734166,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,1098,low
30,734167,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,low
31,734168,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,low
32,734169,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,low
33,734170,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,low
34,734171,1,0,2,0,4,1,1,0.186957,0.177878,0.4378260000000001,0.277752,1550,low
35,734172,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,low
36,734173,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,low
37,734174,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,low
38,734175,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,1712,low
39,734176,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,low
40,734177,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,low
41,734178,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538,low
42,734179,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,low
43,734180,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472,low
44,734181,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589,low
45,734182,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,low
46,734183,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815,low
47,734184,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115,low
48,734185,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475,low
49,734186,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,mid
50,734187,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,low
