instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cluster
1,719163,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,low
2,719163,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,801,low
3,719163,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,1349,low
4,719163,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,1562,low
5,719163,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,1600,low
6,719163,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,1606,low
7,719163,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,1510,low
8,719163,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,low
9,719163,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,822,low
10,719163,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,1321,low
11,719163,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,1263,low
12,719163,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,low
13,719163,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,1406,low
14,719163,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,low
15,719163,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,1248,low
16,719163,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,low
17,719163,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,low
18,719163,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,683,low
19,719163,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,1650,low
20,719163,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,low
21,719163,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,low
22,719163,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,low
23,719163,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,986,low
24,719163,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,1416,low
